pdb,total_sasa,rl
seq_000272_model_0.pdb,8948.210867135303,7.88759696917
seq_000273_model_0.pdb,8132.478213220495,3.35160760534
seq_000274_model_0.pdb,9399.020755112806,3.04134306225
seq_000275_model_0.pdb,9630.910043836004,3.23524909504
seq_000276_model_0.pdb,9290.459250510885,7.85150087747
seq_000277_model_0.pdb,9629.748911453182,3.05447491736
seq_000278_model_0.pdb,8691.261612517717,4.16851556407
seq_000279_model_0.pdb,9397.0633653609,2.84718875827
seq_000280_model_0.pdb,9576.04033916317,3.12766640847
seq_000281_model_0.pdb,9575.70596037225,3.24219743346
seq_000282_model_0.pdb,8608.586873154087,3.94018870929
seq_000283_model_0.pdb,8802.829654059995,8.01041311015
seq_000284_model_0.pdb,8858.613802190657,2.96772602713
seq_000285_model_0.pdb,8925.557341933112,3.22274363516
seq_000286_model_0.pdb,9028.526228272643,3.78450375896
seq_000287_model_0.pdb,9257.11477064579,3.76364277348
seq_000288_model_0.pdb,8944.910609439217,2.96715729087
seq_000289_model_0.pdb,10994.698694780513,3.29755348943
seq_000290_model_0.pdb,9388.430754590388,4.06303059913
seq_000291_model_0.pdb,8991.700432710442,3.40557898685
seq_000292_model_0.pdb,9436.613992824088,4.65432483724
seq_000293_model_0.pdb,9227.298973534256,3.11013722429
seq_000294_model_0.pdb,9662.074683562554,3.15272689756
seq_000295_model_0.pdb,9851.065813914893,2.7401979608
seq_000296_model_0.pdb,9378.973420452105,3.39974725906
seq_000297_model_0.pdb,9013.946652721275,8.15170953225
seq_000298_model_0.pdb,9276.673862738062,3.09647258579
seq_000299_model_0.pdb,9368.52527791622,7.44776580629
seq_000300_model_0.pdb,9398.694346988354,3.19881694052
seq_000301_model_0.pdb,10596.212722143751,7.71009635453
seq_000302_model_0.pdb,9198.900454522502,2.70737961142
seq_000303_model_0.pdb,9522.393255036804,6.23092195934
seq_000304_model_0.pdb,9335.788061589425,4.36854318456
seq_000305_model_0.pdb,9434.62410784544,5.03156349454
seq_000306_model_0.pdb,8875.757241173787,4.68887108334
seq_000307_model_0.pdb,8919.30236652259,3.83340953242
seq_000308_model_0.pdb,9451.198952992829,7.7266513259
seq_000309_model_0.pdb,10164.134363225508,3.59185802435
seq_000310_model_0.pdb,9421.011187398684,5.80645043567
seq_000311_model_0.pdb,8860.6166712372,2.93610187134
seq_000312_model_0.pdb,9592.013152962889,3.4665414922
seq_000313_model_0.pdb,9583.592502815176,3.6528926854
seq_000314_model_0.pdb,9688.370677036124,5.50507703171
seq_000315_model_0.pdb,9629.409748908454,3.85699029777
seq_000316_model_0.pdb,9719.316915954592,7.72417464212
seq_000317_model_0.pdb,9558.676542636227,7.61993628781
seq_000318_model_0.pdb,9012.445128468613,2.56456654818
seq_000319_model_0.pdb,9618.626201911396,3.2191184254
seq_000320_model_0.pdb,8164.098447687907,4.71231148659
seq_000321_model_0.pdb,9718.134210212334,7.81033288604
seq_000322_model_0.pdb,9017.622538089532,3.93698116563
seq_000323_model_0.pdb,9336.276482419024,3.42526447271
seq_000324_model_0.pdb,8705.482571680026,4.65586329882
seq_000325_model_0.pdb,9693.46246066335,4.44259764598
seq_000326_model_0.pdb,8709.01392370088,3.84613307246
seq_000327_model_0.pdb,9624.255824282867,3.28807401944
seq_000328_model_0.pdb,9647.424870853867,3.57167928824
seq_000329_model_0.pdb,9498.328759598662,6.12143484983
seq_000330_model_0.pdb,9291.320089072176,7.68689977698
seq_000331_model_0.pdb,9624.792740951832,3.44989378545
