rl,E_relaxed
2.78761292772,-13786.7040221382
2.77239216595,-9865.05210876556
3.86199000139,-8011.53975437255
3.12377996167,-11227.29290175
8.20645642727,-12555.2795034648
5.81417457755,-2693.32540301771
3.02166629643,-9079.20371838293
3.09211303221,-13452.1647047611
2.75739033492,-9504.4735450771
6.31783125913,-11528.6793821313
2.97672277372,-11060.7566925623
7.97256140475,-15673.8165246762
2.71758236768,-13832.1331423125
7.6525890768,-11766.5416133114
2.88579324601,-10079.6740613686
8.05485635046,24977386.0937577
7.65390836142,-9571.1804297739
4.3245441219,-11775.4259831421
3.74547958172,-12349.3411071074
4.24228265822,-13160.4140313762
3.22998902594,-13073.9673095995
8.10659814142,-11614.7164549679
3.66063872987,-11413.1760997593
3.34378746076,-10709.2976430767
4.05153149032,368736518.724147
5.26435165303,-15682.6646607098
3.70422467107,-8027.97905466336
3.40559192879,-10303.870119308
6.85119209072,-3057.19180272582
7.80061033548,-9740.03087213953
3.59202016293,-12087.9931988348
7.63888766461,-6765.51261910968
4.3862279933,-12942.9790338677
3.16685869245,-8855.79669493503
4.15266224861,-10801.9086640433
3.19230305324,-12267.358848655
3.0488111551,-13299.5287788144
3.10263272908,-15858.9214781231
3.54728417556,-9700.90691634012
5.43184979247,41386813346285.7
4.10719644841,-12893.0128570486
3.92685589803,-9744.66422354152
4.65187436087,-13075.3010125065
5.95802317519,-11554.4233342647
4.26813790953,-8739.73829975823
3.93865411744,-12134.2166396669
4.81256585701,-9896.53819474815
3.36678354954,-15411.5815947777
5.64582246408,4961549.1355938
3.04335151561,-13572.6500262204
7.71473939259,-11131.0485574637
8.05285613372,-12733.3604041806
3.50616971232,-10670.2330360174
3.59581122318,-10843.9769507554
7.70923191724,-16633.3049944225
3.62153536007,-8039.5650429115
4.63603907582,-12883.7383913681
7.85712309496,-10821.1339206429
8.49916022511,-10808.3421331418
2.64377588131,-14470.3975506241
3.21953076413,-9947.81498681892
3.50524747009,-15768.3395430959
8.25492556396,-7669.464281858551
3.59088612802,-14162.979521652
3.07952586641,-10650.9391089009
4.02422063758,-11412.9412071154
3.39545295968,-10613.5521759098
3.34709719858,-7516.15480584936
2.94365869683,-15276.5580193504
3.74971634968,-11673.3575072161
4.63801781694,-11138.6828379061
2.99641641317,-15105.393391024
3.61007445436,-13816.4904002122
3.37143998776,-12874.5622392549
3.40500834157,-9262.36107478639
4.44844491838,-14774.6552202901
3.68642218728,-9652.83380573171
7.39282439478,-15563.5626175072
3.09765726954,-5736.53999656248
6.08945370149,1.80715775129097e+19
3.88813830308,-10771.3066361469
3.16552125797,-14763.3708182297
4.13557187406,-15284.6598174192
3.81118876052,-13414.2511470835
4.03232810284,-15050.0144200695
3.17382924524,11160.928791224
8.13879619584,-10369.8490550079
5.16250097792,-10025.4593759474
3.40793164755,-9885.83926467315
2.92494210588,-10761.7685044545
3.71503523091,-15238.5408785655
3.92820635206,-11957.1945264344
2.86249306977,-7121.36908785231
7.95158590021,-12009.8966794997
4.19670789576,-7153.16779716156
5.34039154786,1655810614764.04
3.34606793075,-10395.4315024684
2.6636083777,-9498.46157070687
7.99662192031,-14078.1966846532
2.97550509971,-13107.9954257456
3.38946329795,-10923.2573932005
7.74219280594,-12162.9324822999
3.27196445627,82322333.1329142
2.84036753407,-11099.1802810931
4.76641116773,-9082.22248658489
4.47406768848,-18647.7153918426
3.54958601923,-11670.6370638597
3.52017082275,-15795.5509718112
3.03036104695,-14385.5515891458
3.81968982715,-13035.535386224
3.34638487946,-13043.5007248212
3.52114467157,-9919.61514472448
4.01002974109,-11994.8504370206
2.7310700362,-12961.2714967276
5.22175628595,-12927.5297927145
8.17368240888,-12042.6627582105
4.25816001087,889686.841885782
3.59315419144,-12513.4188659947
3.84538761868,-12877.0402518424
4.38336063205,-9210.58867393592
4.68445160309,-15672.9362455096
3.40780855665,-13099.1739666627
6.63264078425,-16040.9433091047
4.47743528365,-11523.5522123931
7.231278472,-12007.0084177102
5.22639066138,-10680.9568451204
3.69086605569,60614898.9387285
8.19641504054,-11483.8629791871
3.41759068567,16594.583074706
4.18170814199,-13135.483970891
5.36228973107,-10127.9503875577
5.01434029502,-9933.52425682769
7.41570787312,-10613.5572786997
4.21684727544,-11409.904942727
7.88244913328,-13625.6334153452
5.11189691057,-13778.7104318149
3.33885891846,-12547.3067198883
4.10443099145,-10336.6121022276
7.36939745579,-11991.5556471527
4.60835571046,-12891.454506867
2.89447330064,-10449.358804641
